Country,ISO 3,GCAM Region
SAUDI ARABIA,SAU,Middle East
YEMEN,YEM,Middle East
ISRAEL,ISR,Middle East
JORDAN,JOR,Middle East
LEBANON,LBN,Middle East
PALESTINIAN TERRITORY; Occupied,PSE,Middle East
SYRIAN ARAB REPUBLIC,SYR,Middle East
PAKISTAN,PAK,Pakistan
RUSSIAN FEDERATION,RUS,Russia
SOUTH AFRICA,ZAF,South Africa
FRENCH GUIANA,GUF,South America_Northern
GUYANA,GUY,South America_Northern
SURINAME,SUR,South America_Northern
VENEZUELA,VEN,South America_Northern
URUGUAY,URY,South America_Southern
CHILE,CHL,South America_Southern
BOLIVIA,BOL,South America_Southern
ECUADOR,ECU,South America_Southern
PERU,PER,South America_Southern
PARAGUAY,PRY,South America_Southern
SRI LANKA,LKA,South Asia
MALDIVES,MDV,South Asia
AFGHANISTAN,AFG,South Asia
BANGLADESH,BGD,South Asia
BHUTAN,BTN,South Asia
NEPAL,NPL,South Asia
KOREA; REPUBLIC OF,KOR,South Korea
SEYCHELLES,SYC,Southeast Asia
TIMOR-LESTE,TLS,Southeast Asia
KOREA; DEMOCRATIC PEOPLE'S REPUBLIC OF,PRK,Southeast Asia
BRUNEI DARUSSALAM,BRN,Southeast Asia
MALAYSIA,MYS,Southeast Asia
SINGAPORE,SGP,Southeast Asia
AMERICAN SAMOA,ASM,Southeast Asia
COOK ISLANDS,COK,Southeast Asia
FIJI,FJI,Southeast Asia
MICRONESIA; FEDERATED STATES OF,FSM,Southeast Asia
GUAM,GUM,Southeast Asia
KIRIBATI,KIR,Southeast Asia
MARSHALL ISLANDS,MHL,Southeast Asia
NORTHERN MARIANA ISLANDS,MNP,Southeast Asia
NEW CALEDONIA,NCL,Southeast Asia
NORFOLK ISLAND,NFK,Southeast Asia
NIUE,NIU,Southeast Asia
NAURU,NRU,Southeast Asia
PITCAIRN,PCN,Southeast Asia
PALAU,PLW,Southeast Asia
PAPUA NEW GUINEA,PNG,Southeast Asia
FRENCH POLYNESIA,PYF,Southeast Asia
SOLOMON ISLANDS,SLB,Southeast Asia
TOKELAU,TKL,Southeast Asia
TONGA,TON,Southeast Asia
TUVALU,TUV,Southeast Asia
VANUATU,VUT,Southeast Asia
SAMOA,WSM,Southeast Asia
PHILIPPINES,PHL,Southeast Asia
CAMBODIA,KHM,Southeast Asia
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,Southeast Asia
MYANMAR,MMR,Southeast Asia
MAYOTTE,MYT,Southeast Asia
THAILAND,THA,Southeast Asia
VIET NAM,VNM,Southeast Asia
TAIWAN,TWN,Taiwan
PUERTO RICO,PRI,USA
VIRGIN ISLANDS (U.S.),VIR,USA
UNITED STATES,USA,USA
KOSOVO,KOS,Europe_Non_EU
SERBIA,SRB,Europe_Non_EU
MONTENEGRO,MNE,Europe_Non_EU
PALESTINA,PSX,Middle East
